Gender,Education Level,Loan Purpose,Employment Status,Payment History,Country,Risk Rating,Age,Income,Credit Score,Loan Amount,Debt-to-Income Ratio,Assets Value
Female,High School,Home,Employed,Fair,Anguilla,Medium,35,101496,715,16971,0.53378731,271400
Female,PhD,Home,Employed,Excellent,Svalbard & Jan Mayen Islands,Low,35,42787,693,14949,0.224991083,227655
Female,Bachelor's,Business,Unemployed,Good,Martinique,Low,30,59593,691,24997.4,0.424079453,279118
Non-binary,Bachelor's,Personal,Employed,Excellent,Tajikistan,Low,28,69237,683.4,46898,0.516255497,89494
Male,PhD,Business,Self-employed,Fair,Vietnam,Medium,65,77146,796,38386,0.323186386,262145
Female,PhD,Auto,Employed,Excellent,Bouvet Island (Bouvetoya),Low,68,59300,706.6,34783,0.235760539,270400
Non-binary,Bachelor's,Business,Employed,Fair,British Indian Ocean Territory (Chagos Archipelago),Low,64,79070,763,21715,0.302038878,272412
Male,Bachelor's,Personal,Unemployed,Poor,Niue,Medium,29,85164,710,14441,0.257828553,64687
Non-binary,PhD,Business,Employed,Fair,Georgia,Medium,54,100908,764,19539.4,0.240809219,250753
Male,PhD,Business,Unemployed,Good,Guam,Medium,67,67109.4,608,12657,0.465760185,107089
Female,Master's,Personal,Unemployed,Fair,Brunei Darussalam,Low,36,68776,612,47707,0.332396791,68491
Non-binary,Master's,Home,Unemployed,Poor,Zimbabwe,Low,19,112545,712,15503,0.252172854,194154
Male,Bachelor's,Home,Self-employed,Fair,Taiwan,Medium,48,72869,649,38575,0.430090518,143440
Non-binary,PhD,Home,Employed,Excellent,Haiti,Medium,44,51280,750,22162,0.550130495,87579
Female,Master's,Personal,Unemployed,Fair,Kazakhstan,Low,34,67046,701.2,11753,0.319500175,90851
Male,Master's,Auto,Employed,Poor,Armenia,Low,65,106526,650,23161,0.544867397,98025
Female,Bachelor's,Auto,Unemployed,Fair,Greece,Medium,47,91691,701.2,42140,0.568474245,235362
Male,Master's,Home,Self-employed,Good,Somalia,Low,20,41126.8,692,16283,0.466075526,144758
Non-binary,Bachelor's,Home,Employed,Fair,Brunei Darussalam,Medium,36,37105,720,33259,0.412777028,294048
Female,Bachelor's,Personal,Self-employed,Good,Latvia,Low,62,31063,793,29760,0.143936101,226298
Female,Bachelor's,Personal,Self-employed,Poor,French Southern Territories,Low,66,70304.4,668,23993,0.150792729,60925
Female,Bachelor's,Home,Unemployed,Excellent,Sao Tome and Principe,Low,31,69625,636,15188,0.506634373,130028.6
Non-binary,Master's,Home,Self-employed,Good,South Africa,High,38,82093,726,20454,0.190221959,39434
Male,Bachelor's,Personal,Self-employed,Fair,French Southern Territories,Low,24,64228,627,28477,0.255696688,147499
Male,Bachelor's,Business,Employed,Excellent,San Marino,Medium,23,62541,680,34428,0.244546545,92337.6
Female,High School,Personal,Self-employed,Poor,Turkey,Low,28,56895,661.6,31057.2,0.227617324,128403
Female,PhD,Business,Self-employed,Good,Thailand,Low,35,72433,792,5747,0.327373935,112076
Female,Master's,Auto,Self-employed,Poor,Swaziland,Low,56,93396.6,734,40516,0.378206875,203231
Male,High School,Business,Employed,Poor,Mali,Low,39,90227,770,18079,0.518758954,163838
Non-binary,High School,Business,Employed,Poor,Ukraine,Low,31,107081,740,18101,0.108793817,25157
Non-binary,High School,Home,Unemployed,Poor,Belize,Low,34,44085,687,26424.2,0.448937891,253262
Non-binary,Bachelor's,Personal,Unemployed,Fair,Anguilla,Medium,49,54648,707.2,20427,0.121472995,276619
Female,High School,Home,Employed,Excellent,Guatemala,Low,36,65104,699,44260,0.337761725,135458
Male,PhD,Personal,Self-employed,Good,United States Minor Outlying Islands,Medium,43,109698,793,46500,0.347851155,159076
Male,Master's,Home,Employed,Excellent,Palestinian Territory,Medium,57,116102,629,31831,0.516362513,228018
Non-binary,High School,Personal,Unemployed,Good,Burundi,Low,58,20947,776,38756,0.218403224,91848
Male,High School,Home,Self-employed,Good,Singapore,Medium,52,32094,634,17612,0.549456544,114375
Male,PhD,Personal,Employed,Excellent,Brazil,Low,33,59894.6,624,47874,0.455208343,28057
Male,Master's,Auto,Unemployed,Excellent,India,Low,40,83865,663,15896,0.358704651,145946.2
Non-binary,PhD,Business,Employed,Poor,Saint Pierre and Miquelon,Low,36,101863,688,31132,0.219403114,149141
Male,Master's,Home,Employed,Poor,Monaco,Low,67,107366,655,20154,0.416617868,108345
Male,Master's,Personal,Employed,Excellent,South Africa,Medium,39,56116,636,16578,0.313107732,197835
Male,PhD,Auto,Unemployed,Excellent,Paraguay,Low,59,103794,738.2,9288,0.412109478,195205
Male,Bachelor's,Home,Employed,Good,Mozambique,Low,50,79300,697,26963,0.216722419,121943
Male,PhD,Auto,Self-employed,Good,El Salvador,Low,64,101855,686,48584,0.572524406,138039
Non-binary,PhD,Home,Self-employed,Poor,Netherlands Antilles,Low,18,107329,735,22694,0.23280902,71327
Non-binary,Master's,Business,Employed,Excellent,Russian Federation,Low,42,61048,770.8,17631,0.266383747,252248
Female,PhD,Auto,Self-employed,Good,Suriname,High,28,64541,703,20017,0.206311988,24856
Non-binary,PhD,Auto,Employed,Fair,Maldives,Low,53,26613,771,6982,0.107198287,56108
Male,Bachelor's,Auto,Unemployed,Fair,Iran,Low,40,75081.4,721,41599,0.363903795,234986
Male,PhD,Personal,Unemployed,Excellent,Sweden,Medium,22,54732.8,632,27414,0.126001223,83144
Male,High School,Business,Unemployed,Excellent,Luxembourg,Medium,35,114877,699,46113,0.389906857,254153
Female,Bachelor's,Personal,Self-employed,Poor,Micronesia,Low,36,44283,755,42326,0.116135309,228890
Female,High School,Business,Self-employed,Excellent,Azerbaijan,Low,59,60385,743,30961,0.383779017,222830
Female,Master's,Auto,Employed,Fair,Czech Republic,Medium,66,47785,695.4,14137,0.369847066,147601
Male,High School,Home,Unemployed,Fair,Guinea-Bissau,Low,60,61559,623,9038,0.530640775,143081.2
Female,High School,Personal,Employed,Excellent,Cyprus,Low,63,40113,722,5044,0.496244458,159493
Female,Bachelor's,Business,Self-employed,Excellent,Austria,Low,43,29797,727,10640,0.509303064,89291
Non-binary,Bachelor's,Personal,Unemployed,Poor,Indonesia,Medium,39,31137,757,7326,0.441794267,68848
Male,High School,Home,Unemployed,Poor,Armenia,Low,39,117661,763,8876,0.565118423,107970.8
Male,PhD,Auto,Unemployed,Fair,American Samoa,Low,58,69029,645.6,39742,0.369606846,218480.2
Female,PhD,Home,Unemployed,Good,Ireland,Low,47,65463,710,24326.4,0.509355158,230368
Non-binary,Bachelor's,Auto,Self-employed,Good,Namibia,Low,58,81847.8,791,34903,0.177489309,236635
Non-binary,Bachelor's,Personal,Unemployed,Good,Iran,Low,51,40561,632,42722,0.381899834,165547
Female,Bachelor's,Business,Employed,Good,Egypt,Medium,25,23159,634,30223.2,0.593406902,241024
Female,Bachelor's,Auto,Self-employed,Excellent,Japan,Medium,36,108304,675,46461,0.134004327,149268.2
Non-binary,Bachelor's,Home,Employed,Good,Australia,Low,56,89391.2,728,42333,0.345462911,177780.8
Non-binary,PhD,Home,Unemployed,Poor,United States Virgin Islands,Low,30,73774.4,699,29559,0.181094003,203837
Non-binary,Master's,Auto,Employed,Excellent,Andorra,Low,27,80523,604,13043,0.112270249,201865
Female,Bachelor's,Auto,Self-employed,Fair,Micronesia,Low,67,68739.8,750,46529,0.448739802,290306
Female,PhD,Auto,Employed,Fair,Burkina Faso,Low,46,81289,722,28526.6,0.248479439,103462
Female,Bachelor's,Personal,Employed,Fair,Kiribati,Medium,56,27807,681,25426,0.497042103,178108
Female,PhD,Home,Employed,Fair,Falkland Islands (Malvinas),Low,37,20987,640,8042,0.442812684,55772
Non-binary,Master's,Personal,Unemployed,Excellent,Slovakia (Slovak Republic),Low,24,61876,791,7070,0.114673538,131369
Female,PhD,Business,Employed,Good,Djibouti,Low,43,61783,705,12071,0.119108756,85658
Male,Bachelor's,Auto,Self-employed,Good,Yemen,Medium,41,50737,624,14107.6,0.538422931,261675
Non-binary,Master's,Personal,Employed,Good,Comoros,Low,61,88056,684,9746,0.361356668,48339
Male,PhD,Auto,Unemployed,Excellent,Iran,Low,25,115287,704.2,9520,0.39251234,69459
Non-binary,PhD,Home,Unemployed,Good,Western Sahara,Low,52,111594,715,9174,0.100815126,137074
Non-binary,High School,Auto,Self-employed,Excellent,North Macedonia,Low,18,27313,786,24399,0.15104681,284643
Female,Bachelor's,Home,Employed,Excellent,Somalia,Low,63,101844,688,9667,0.251662122,61882
Non-binary,High School,Auto,Unemployed,Fair,Mali,Medium,47,28673,699,19540,0.408040672,255563
Female,High School,Home,Self-employed,Poor,Antarctica (the territory South of 60 deg S),Low,65,61743,618,27165,0.242235447,219776
Non-binary,High School,Business,Self-employed,Poor,Mauritania,Low,43,111205,736,14828.8,0.273947007,192430.8
Male,Bachelor's,Auto,Self-employed,Poor,Saint Pierre and Miquelon,Low,54,114486,704,32353,0.400318279,222630
Female,PhD,Auto,Employed,Excellent,British Indian Ocean Territory (Chagos Archipelago),Medium,60,80883,699,46731,0.561233428,200074
Male,PhD,Home,Unemployed,Poor,Mali,Low,48,91982,602,33381,0.523766671,172089.6
Male,Bachelor's,Business,Self-employed,Excellent,New Caledonia,Low,45,85839,686,29177,0.260055213,114053
Male,Master's,Personal,Unemployed,Fair,Senegal,Low,47,105237,699.6,14212,0.302355198,265480
Non-binary,PhD,Home,Employed,Poor,Costa Rica,Medium,35,111627,630,39992,0.394882648,200110
Male,Master's,Personal,Unemployed,Excellent,Hungary,Medium,42,78561.8,717.4,10737,0.41629395,202129
Non-binary,Master's,Personal,Self-employed,Excellent,Marshall Islands,Low,62,74850,650,17324,0.191276675,151244
Male,PhD,Home,Employed,Excellent,Vietnam,Medium,56,62530,754,25083.2,0.259699331,248213
Male,Bachelor's,Personal,Self-employed,Good,Wallis and Futuna,Low,40,90179,693,32825,0.584147345,129600
Non-binary,High School,Auto,Self-employed,Good,Moldova,Low,53,117507,685,45544,0.375782652,228273
Male,High School,Home,Unemployed,Fair,Peru,Low,31,34002,738,23618,0.17305568,269695
Non-binary,Master's,Personal,Unemployed,Poor,Italy,Low,33,74333,693,47328,0.522094083,111726
Male,High School,Home,Self-employed,Poor,Zambia,Medium,58,109067,790,35949,0.398211352,206088
Female,Master's,Business,Employed,Fair,Thailand,Low,47,54022,775,9445,0.244654442,177570
Male,Master's,Home,Employed,Poor,Morocco,Medium,48,37540,673,34317,0.505902726,32715
Male,High School,Personal,Self-employed,Excellent,El Salvador,Medium,37,96730,715.6,28500,0.142385514,281303
Female,PhD,Auto,Employed,Good,Canada,Low,38,84934,720,12941.2,0.477975951,116141
Non-binary,Master's,Business,Self-employed,Excellent,Bulgaria,High,54,62296,744,23778,0.203052807,173854
Female,PhD,Business,Employed,Excellent,Saint Helena,Medium,37,111551,632,10074,0.58737792,66221
Male,Bachelor's,Home,Employed,Poor,Macao,Low,52,47260,608,23857,0.346898528,139811.6
Male,Bachelor's,Personal,Employed,Excellent,Seychelles,Low,33,65538,646,32967.4,0.588080576,35469
Male,Bachelor's,Personal,Employed,Excellent,Sweden,High,25,81971,646,48870,0.377456979,163067.2
Female,Bachelor's,Auto,Employed,Poor,Iceland,Low,54,54560,760,30826,0.568217248,21537
Female,Master's,Auto,Self-employed,Good,Namibia,Low,19,115381,727,40970,0.451811592,291530
Non-binary,High School,Business,Employed,Good,South Georgia and the South Sandwich Islands,Medium,40,75122,668.6,33345,0.321867162,104624.4
Male,Master's,Home,Employed,Good,Holy See (Vatican City State),Low,43,81683,693,10316,0.351319135,28304
Male,Bachelor's,Personal,Employed,Good,Western Sahara,Medium,67,104661,771,8751,0.508536076,100251
Non-binary,Master's,Personal,Self-employed,Fair,Malawi,Low,34,78630,695,48757,0.430250038,94109.4
Female,PhD,Home,Unemployed,Poor,North Macedonia,Medium,32,99688,732,12429,0.430234003,267072
Female,Master's,Home,Unemployed,Good,Slovakia (Slovak Republic),Low,44,56387.4,791,30191,0.174938787,263286
Male,PhD,Business,Employed,Excellent,Liberia,Medium,60,114018,636,28620,0.261044262,38980
Female,PhD,Auto,Self-employed,Excellent,Germany,Low,43,88309,724,7848,0.253430491,103243
Female,High School,Personal,Self-employed,Good,El Salvador,Medium,60,35070,642,25771.2,0.561000552,294768
Female,PhD,Home,Unemployed,Fair,Sao Tome and Principe,Low,35,39629,622,9537,0.524358189,48636
Non-binary,Bachelor's,Home,Self-employed,Good,Japan,Low,69,98672,792,5228,0.484613572,151654.6
Male,High School,Home,Unemployed,Excellent,Burkina Faso,Low,59,83094,670.4,32356,0.185278819,268737
Male,Master's,Home,Unemployed,Poor,Panama,Low,29,67940,618,31030,0.383985345,77526.4
Female,Bachelor's,Business,Employed,Excellent,Dominica,Medium,27,42327,655,35730.6,0.437615532,90257
Female,Master's,Personal,Self-employed,Fair,Wallis and Futuna,Medium,46,34284,775,26340,0.400353991,64156
Non-binary,Bachelor's,Business,Employed,Excellent,India,Low,28,98311,689,34763,0.388665461,216062
Non-binary,PhD,Business,Employed,Excellent,South Georgia and the South Sandwich Islands,Low,27,114436,775,39216,0.102012992,158498
Non-binary,High School,Personal,Employed,Poor,Hong Kong,Medium,48,70188,694,9370,0.35645066,196883.6
Male,High School,Personal,Self-employed,Fair,Congo,Low,27,88173,746,14800,0.538712246,289092
Non-binary,High School,Business,Employed,Good,Saint Lucia,Low,34,70807,745,39572,0.433975274,130451
Non-binary,Bachelor's,Auto,Employed,Excellent,Belgium,Medium,66,22944,668,44767,0.448401898,31159
Male,PhD,Home,Employed,Poor,Iran,Low,53,29475,725,26783.8,0.112003281,189327
Female,High School,Personal,Self-employed,Excellent,Yemen,Low,38,99314,656,17158,0.123889568,162247
Male,Bachelor's,Auto,Self-employed,Fair,Romania,Medium,48,25465,671,36672,0.255003057,237546
Non-binary,High School,Business,Employed,Poor,Tanzania,Medium,66,94099,695.4,41008,0.224805287,137990
Non-binary,Bachelor's,Personal,Unemployed,Fair,Ethiopia,High,25,95630,652.2,47368,0.466649869,187156
Female,Master's,Auto,Employed,Good,Bermuda,Medium,69,118995,787,14398,0.488273727,148047
Female,PhD,Auto,Unemployed,Fair,Fiji,Medium,51,23477,612,34555.2,0.293599287,121621.4
Male,Master's,Business,Unemployed,Fair,Palestinian Territory,Medium,19,33054,695.2,32659.2,0.51107983,204538
Non-binary,Master's,Business,Self-employed,Fair,Mauritius,Low,66,73552,687,5387,0.139044029,136479.6
Male,High School,Home,Self-employed,Good,United States Minor Outlying Islands,Medium,56,73953,710,42364,0.555770849,152625
Non-binary,Bachelor's,Business,Self-employed,Good,Monaco,Medium,33,46953,627,23284,0.233152718,192563
Female,High School,Home,Self-employed,Excellent,Tonga,Low,41,89852,676,27422,0.486273411,205004
Female,Bachelor's,Home,Unemployed,Fair,Tajikistan,Low,32,78360,608,47644,0.112276192,271432
Male,High School,Personal,Employed,Fair,Kenya,Medium,24,57488,777,26533,0.408146803,96823
Non-binary,PhD,Home,Employed,Fair,Sri Lanka,Low,58,64153,658,12202,0.179217424,186472
Non-binary,Master's,Personal,Employed,Good,Tunisia,Low,30,55059,756,7413,0.494801779,29295
Male,Master's,Business,Employed,Good,Cuba,Low,69,64213.6,771,8974,0.188338371,204237.2
Female,Master's,Home,Employed,Good,Sudan,Low,54,91103,642,22439,0.450881946,136141
Male,Master's,Auto,Employed,Good,Reunion,Medium,66,64764,600,25486,0.454795899,79556
Female,High School,Home,Self-employed,Fair,Mauritius,Low,32,118580,636,13116,0.120713199,267284
Female,Bachelor's,Personal,Unemployed,Good,Zambia,Low,47,100664,725,12939,0.143515494,258171
Non-binary,PhD,Business,Unemployed,Poor,Botswana,Medium,65,83371.8,645,36780.4,0.569969758,118975
Female,High School,Auto,Employed,Good,Mayotte,High,68,113923,601,44653,0.270090609,263788
Male,PhD,Business,Unemployed,Excellent,Belarus,Medium,22,107732,750,39235,0.295658091,62184
Female,Bachelor's,Business,Employed,Fair,San Marino,Low,59,117869,745,30963.4,0.550514099,117270.2
Male,Bachelor's,Business,Employed,Fair,United States of America,Low,28,83969,671,44332,0.45700939,88597
Non-binary,PhD,Auto,Self-employed,Good,Pakistan,Low,49,24507,676,25915.4,0.561908292,131303
Female,PhD,Auto,Employed,Fair,Falkland Islands (Malvinas),Low,36,52548,766,8458,0.240513252,62171
Male,PhD,Personal,Unemployed,Excellent,Saint Lucia,Medium,46,37986,741,5217,0.24326904,24766
Female,Bachelor's,Personal,Employed,Fair,Saint Kitts and Nevis,Medium,27,55423,785,10956,0.3365854,73141
Male,High School,Personal,Unemployed,Good,Angola,High,54,23794,754,42272,0.534887509,273159
Female,PhD,Personal,Self-employed,Good,Niue,Medium,22,64649,689.6,38312,0.459164232,114375
Male,High School,Auto,Unemployed,Good,Congo,Medium,39,20530,759.6,26736,0.240660934,137469
Male,Bachelor's,Auto,Employed,Fair,Myanmar,Medium,63,117980,750,34913,0.31971399,79180
Non-binary,PhD,Personal,Self-employed,Good,Swaziland,Medium,54,108291,708,24637.4,0.269836565,155916
Male,Bachelor's,Personal,Employed,Excellent,Oman,Medium,66,79893,641,8341,0.18669614,213287
Non-binary,Master's,Personal,Employed,Good,Iran,Low,45,37829,618,29082,0.156127674,44527
Male,PhD,Auto,Employed,Excellent,Belize,Low,20,56414.4,643,47450,0.557894575,121853
Male,Bachelor's,Home,Employed,Excellent,Andorra,Low,65,82713,658,15995,0.333555884,77072
Male,High School,Home,Employed,Poor,Chile,Low,59,37373,743,12455,0.303733068,166261
Female,Bachelor's,Auto,Self-employed,Excellent,Mayotte,Low,39,36489,609,7961,0.591416431,181869
Female,High School,Home,Employed,Fair,Myanmar,Medium,41,66230.8,704.4,13475,0.53410713,160260.8
Female,PhD,Personal,Employed,Poor,Aruba,Low,26,77589,652.2,10887,0.412694907,41745
Male,Bachelor's,Personal,Unemployed,Excellent,Saint Pierre and Miquelon,Medium,44,102757,722.6,19965,0.567862751,81592
Male,Bachelor's,Home,Self-employed,Fair,Aruba,Low,53,32328,688,24731,0.588001653,294239
Male,High School,Business,Employed,Good,Luxembourg,Low,23,83853,712,11358,0.587184535,166988
Non-binary,Bachelor's,Personal,Self-employed,Fair,Iceland,Low,25,33727,622,33180,0.354035688,233379
Male,PhD,Auto,Self-employed,Excellent,Jersey,Low,66,111951,706,12827,0.204279665,105753.4
Female,PhD,Personal,Unemployed,Fair,Nauru,Low,66,88993,705,36158,0.16903071,157492
Male,Bachelor's,Home,Unemployed,Good,Senegal,Low,23,79871.2,701,7697,0.127195429,159828.8
Male,Master's,Personal,Unemployed,Fair,Rwanda,High,32,99211,631,44886,0.221320316,123213
Non-binary,Master's,Home,Employed,Good,Cocos (Keeling) Islands,Low,57,87238.2,692,35771,0.576416967,149782
Non-binary,High School,Home,Self-employed,Poor,Algeria,Low,58,82583,768,30366,0.576255603,119096
Male,Master's,Business,Self-employed,Poor,Cambodia,Low,18,84162,606,5015,0.389069671,275773
Female,Bachelor's,Auto,Employed,Excellent,Christmas Island,Low,61,25702,650,31654,0.161250745,149488
Female,Master's,Business,Self-employed,Poor,Chad,Medium,69,49018,783,27754.8,0.404283373,295856
Non-binary,PhD,Personal,Employed,Good,Canada,Low,25,68596.2,638,20685,0.32688169,213838
Female,PhD,Personal,Unemployed,Excellent,Gabon,Low,45,33515,740.6,7845,0.130864609,273937
Male,Master's,Auto,Self-employed,Poor,French Guiana,Low,27,114452,668,36683,0.382632935,191602
Male,Master's,Business,Employed,Good,Vietnam,Low,36,35782,735,5371,0.406846919,172202
Male,Bachelor's,Personal,Self-employed,Good,Martinique,High,33,22170,686,44357,0.341188468,87943
Male,PhD,Business,Self-employed,Poor,El Salvador,Medium,38,54563,698,32788,0.111037568,240903
Female,Bachelor's,Home,Employed,Fair,Sri Lanka,Medium,64,25156,667,14519,0.585498385,130801.8
Non-binary,Master's,Home,Employed,Poor,Oman,Low,56,35299,625,24860,0.574404363,229939
Non-binary,Bachelor's,Home,Employed,Fair,Denmark,Medium,41,57466.4,700,28992,0.561611008,273625
Female,High School,Personal,Unemployed,Excellent,Singapore,Low,57,59015,774,36334,0.263724816,50529
Non-binary,Bachelor's,Personal,Employed,Poor,Saint Barthelemy,Low,48,66815,662,44872,0.393501878,95401
Non-binary,PhD,Auto,Employed,Fair,Turkey,Low,37,74337,630,17919,0.520813764,219321
Non-binary,Master's,Auto,Self-employed,Good,Ecuador,Low,21,90687,782,31874.4,0.314761757,271803
Non-binary,Bachelor's,Home,Employed,Fair,Portugal,Low,23,47684,742,42901,0.277608708,78032
Male,Bachelor's,Auto,Self-employed,Excellent,Sierra Leone,Low,47,111352,688,15044,0.290150955,283782
Male,High School,Business,Self-employed,Good,North Macedonia,Medium,18,63793.4,620,27502.8,0.358132595,188114.4
Female,Bachelor's,Personal,Self-employed,Fair,Equatorial Guinea,Low,24,102488,643,19631,0.269315748,210453
Male,Bachelor's,Home,Self-employed,Good,Papua New Guinea,Low,24,94667,768,26118,0.426268032,104282
Female,High School,Home,Self-employed,Poor,Moldova,Low,49,49870,625,29285,0.110209775,187903
Female,Bachelor's,Business,Self-employed,Poor,Sudan,Low,63,113526,621,32419,0.578291338,86539
Non-binary,Master's,Personal,Self-employed,Poor,Bosnia and Herzegovina,Low,39,117031,650,5301,0.510807685,157142
Female,Bachelor's,Business,Unemployed,Good,Poland,Low,54,74240,633,11854,0.351534961,76783
Non-binary,Bachelor's,Personal,Self-employed,Fair,Guinea-Bissau,Medium,58,30352,722,45519,0.585703827,135151
Non-binary,High School,Auto,Employed,Fair,Afghanistan,Low,39,55793,669,13763,0.263591104,274678
Non-binary,PhD,Personal,Employed,Excellent,Bosnia and Herzegovina,Medium,35,108586,625,41978,0.478343891,182403
Male,PhD,Auto,Employed,Excellent,Christmas Island,High,45,69227.2,692.4,39662,0.145914007,224294
Female,Master's,Business,Unemployed,Fair,Nigeria,Low,22,116111,754,28533,0.125178128,150725
Female,PhD,Home,Employed,Good,Slovakia (Slovak Republic),Medium,21,58918,618,22165,0.381804389,222403
Non-binary,Master's,Business,Employed,Excellent,Ethiopia,Medium,19,49915,626,41316,0.103289409,244728
Female,PhD,Home,Self-employed,Excellent,Pakistan,Low,35,62362,712.8,16305,0.125639534,98598.4
Male,High School,Business,Unemployed,Poor,Jersey,Low,50,118759,681.6,26341,0.341140296,199474
Male,PhD,Auto,Self-employed,Poor,Yemen,Medium,36,118962,712,30328,0.373723736,269560
Non-binary,PhD,Auto,Self-employed,Poor,San Marino,Low,42,37540,672,6724,0.106682376,217834
Non-binary,PhD,Home,Unemployed,Good,Peru,Low,49,41966,618,35534,0.27213229,151975
Female,Bachelor's,Business,Unemployed,Fair,Norfolk Island,Low,31,105924,738,41443,0.208205649,243582
Non-binary,Master's,Auto,Self-employed,Good,Cameroon,Medium,41,63809,686.8,14877,0.579156717,118514
Male,Bachelor's,Auto,Employed,Good,Qatar,Low,68,52959,790,7678,0.395187161,151755.4
Male,Master's,Auto,Employed,Fair,Trinidad and Tobago,Medium,64,49367,772,12840,0.461116857,249394
Male,Bachelor's,Personal,Unemployed,Excellent,Montenegro,Low,52,96127,759,48791,0.101661445,71804
Non-binary,High School,Auto,Employed,Excellent,Mauritius,Medium,45,119576,755,16345.4,0.135680818,166348
Male,Bachelor's,Personal,Unemployed,Fair,Ireland,Low,39,82457,626,49079,0.182391583,142330.2
Male,Bachelor's,Auto,Self-employed,Excellent,Sao Tome and Principe,Medium,54,60566,634,22802,0.239062464,41499
Female,Bachelor's,Business,Employed,Excellent,Afghanistan,Low,32,22919,662,37477,0.259245786,114916
Male,Bachelor's,Auto,Self-employed,Poor,Cameroon,Medium,47,70603,731,6308,0.135443113,23387
Non-binary,Bachelor's,Auto,Self-employed,Fair,Zimbabwe,Low,53,24799,692,24866,0.213848632,161297.6
Male,Master's,Auto,Employed,Fair,Niger,Low,59,78397,770,23197,0.309220756,148902.8
Non-binary,PhD,Business,Employed,Poor,Hong Kong,Low,27,75268,704.2,42339,0.278030432,283128
Male,PhD,Business,Employed,Good,Macao,Medium,18,80378,639,31920,0.124848541,214743
Male,Master's,Personal,Unemployed,Fair,Malawi,Low,20,39796,652,15487,0.339273344,107317.6
Male,High School,Home,Unemployed,Fair,Nigeria,High,30,72883.8,640,37222,0.163980298,179819
Non-binary,Master's,Home,Unemployed,Fair,Guadeloupe,Low,51,38910,777,21601,0.307022193,72799
Male,Master's,Business,Employed,Fair,Zimbabwe,Low,57,113260,655,28094,0.501227298,182681.6
Female,PhD,Auto,Unemployed,Fair,Japan,Medium,19,33898,601,28933,0.113083915,161188
Male,PhD,Home,Employed,Good,Guinea,High,55,52919,699,47283,0.523999475,299435
Male,Bachelor's,Personal,Employed,Excellent,Qatar,Low,24,21238,731,34171,0.515971995,75887
Female,High School,Home,Unemployed,Good,France,Medium,45,63400.4,694,49724,0.257389645,166672
Female,High School,Personal,Self-employed,Good,Marshall Islands,Medium,28,109624,771,16036,0.152826692,95754
Male,Bachelor's,Business,Employed,Poor,Georgia,Low,67,48223,606,15318,0.350578947,214246
Female,Master's,Home,Unemployed,Good,Bangladesh,Low,45,100821,608,25392,0.186020749,186780
Non-binary,Master's,Personal,Unemployed,Fair,Brazil,Low,61,73942,620,32503,0.275224834,108502
Male,PhD,Business,Employed,Excellent,Sweden,Low,51,36756,646,39884,0.244589366,68595
Non-binary,PhD,Home,Self-employed,Excellent,Saint Lucia,Low,21,106940,721,43381,0.468084508,68461
Male,Master's,Home,Employed,Fair,Panama,Medium,45,22751,776,48368,0.18131963,139323
Male,PhD,Auto,Employed,Poor,Afghanistan,Low,41,114897,724,33782,0.100727342,203813
Male,Master's,Personal,Employed,Good,Oman,Medium,25,102176,604,28933,0.468058725,140628
Non-binary,PhD,Personal,Unemployed,Excellent,Venezuela,Low,68,94676,709,27727,0.37040874,233292
Female,High School,Home,Self-employed,Good,Cape Verde,High,54,96230,730,22373.2,0.298507266,174250
